season,week,passing_yards,pass_touchdown,rushing_yards,rush_touchdown
2018,1,24.0,0.0,2.0,0.0
2018,5,0.0,0.0,0.0,0.0
2018,7,5.0,0.0,0.0,0.0
2018,8,46.0,1.0,0.0,0.0
2018,9,12.0,0.0,0.0,0.0
2018,11,150.0,0.0,9.0,0.0
2018,12,178.0,1.0,2.0,0.0
2018,13,125.0,0.0,14.0,0.0
2018,14,147.0,2.0,8.0,0.0
2018,15,131.0,1.0,48.0,0.0
2018,16,204.0,1.0,6.0,0.0
2018,17,179.0,0.0,26.0,0.0
2018,18,194.0,2.0,46.0,0.0
2019,1,324.0,5.0,0.0,0.0
2019,2,272.0,2.0,46.0,0.0
2019,3,267.0,0.0,27.0,1.0
2019,4,247.0,3.0,17.0,0.0
2019,5,161.0,1.0,26.0,0.0
2019,6,236.0,0.0,53.0,0.0
2019,7,143.0,0.0,86.0,0.0
2019,9,163.0,1.0,13.0,0.0
2019,10,223.0,3.0,9.0,0.0
2019,11,222.0,4.0,33.0,0.0
2019,12,169.0,5.0,15.0,0.0
2019,13,105.0,1.0,0.0,0.0
2019,14,145.0,3.0,0.0,0.0
2019,15,212.0,5.0,28.0,0.0
2019,16,238.0,3.0,27.0,0.0
2019,19,365.0,1.0,79.0,0.0
2020,1,275.0,3.0,22.0,0.0
2020,2,204.0,1.0,16.0,0.0
2020,3,97.0,1.0,29.0,0.0
2020,4,193.0,2.0,12.0,0.0
2020,5,180.0,2.0,0.0,0.0
2020,6,186.0,1.0,35.0,0.0
2020,8,208.0,2.0,18.0,0.0
2020,9,170.0,0.0,17.0,0.0
2020,10,249.0,2.0,29.0,0.0
2020,11,186.0,1.0,17.0,0.0
2020,13,107.0,2.0,36.0,0.0
2020,14,163.0,1.0,49.0,1.0
2020,15,243.0,3.0,3.0,0.0
2020,16,183.0,2.0,27.0,0.0
2020,17,113.0,3.0,45.0,0.0
2020,18,179.0,0.0,48.0,1.0
2020,19,162.0,0.0,23.0,0.0
2021,1,235.0,1.0,63.0,0.0
2021,2,239.0,1.0,20.0,0.0
2021,3,287.0,1.0,52.0,0.0
2021,4,316.0,1.0,2.0,0.0
2021,5,442.0,4.0,47.0,0.0
2021,6,167.0,1.0,28.0,0.0
2021,7,257.0,1.0,42.0,0.0
2021,9,266.0,3.0,49.0,0.0
2021,10,238.0,1.0,19.0,0.0
2021,12,165.0,1.0,29.0,0.0
2021,13,253.0,1.0,33.0,0.0
2021,14,17.0,0.0,4.0,0.0
2022,1,213.0,3.0,9.0,0.0
2022,2,318.0,3.0,29.0,0.0
2022,3,218.0,4.0,8.0,0.0
2022,4,144.0,1.0,51.0,0.0
2022,5,174.0,1.0,5.0,0.0
2022,6,210.0,1.0,27.0,0.0
2022,7,120.0,0.0,17.0,0.0
2022,8,238.0,2.0,10.0,0.0
2022,9,133.0,1.0,0.0,0.0
2022,11,209.0,0.0,-1.0,0.0
2022,12,254.0,1.0,41.0,0.0
2022,13,11.0,0.0,9.0,0.0
2023,1,169.0,0.0,37.0,0.0
2023,2,237.0,2.0,37.0,0.0
2023,3,202.0,0.0,48.0,0.0
2023,4,186.0,2.0,9.0,0.0
2023,5,236.0,0.0,15.0,0.0
2023,6,223.0,1.0,25.0,0.0
2023,7,357.0,3.0,21.0,0.0
2023,8,157.0,1.0,1.0,0.0
2023,9,187.0,0.0,32.0,0.0
2023,10,223.0,1.0,23.0,0.0
2023,11,264.0,2.0,20.0,0.0
2023,12,177.0,1.0,9.0,0.0
2023,14,316.0,3.0,68.0,0.0
2023,15,171.0,1.0,30.0,0.0
2023,16,252.0,2.0,39.0,0.0
2023,17,321.0,5.0,26.0,0.0
2023,20,152.0,2.0,63.0,1.0
2023,21,272.0,1.0,29.0,0.0
